ID Line Time Xline Inline
55 Xline 243.0 940 249
55 Xline 276.0 940 243
56 Xline 95.0 940 289
56 Xline 110.0 940 285
56 Xline 126.0 940 280
56 Xline 141.0 940 275
56 Xline 157.0 940 272
56 Xline 170.0 940 268
56 Xline 182.0 940 264
57 Xline 304.0 940 464
57 Xline 319.0 940 457
57 Xline 333.0 940 450
58 Xline 292.0 940 415
58 Xline 305.0 940 410
58 Xline 316.0 940 405
59 Xline 289.0 940 401
59 Xline 306.0 940 395
60 Xline 277.0 940 124
60 Xline 284.0 940 127
60 Xline 299.0 940 132
60 Xline 304.0 940 134
61 Xline 304.0 940 641
61 Xline 317.0 940 640
61 Xline 334.0 940 635
61 Xline 343.0 940 633
62 Xline 311.0 940 656
62 Xline 342.0 940 660
63 Xline 284.0 940 379
63 Xline 293.0 940 375
63 Xline 302.0 940 371
